Agent,Group
"Aloe vera, whole leaf extract",2B
Clonorchis sinensis (infection with),1
"Fusarium graminearum, F. culmorum, and F. crookwellense, toxins derived from (zearalenone, deoxynivalenol, nivalenol, and fusarenone X)",3
"Fusarium sporotrichioides, toxins derived from (T-2 toxin)",3
Helicobacter pylori (infection with),1
Microcystis extracts,3
Opisthorchis felineus (infection with),3
Opisthorchis viverrini (infection with),1
Schistosoma haematobium (infection with),1
Schistosoma japonicum (infection with),2B
Schistosoma mansoni (infection with),3
"Acheson process, occupational exposure associated with",1
"Acid mists, strong inorganic",1
Acrylic fibres,3
Acrylonitrile-butadiene-styrene copolymers,3
Alcoholic beverages,1
Alpha particles (see Radionuclides),
Aluminium production,1
"Anaesthetics, volatile",3
Androgenic (anabolic) steroids,2A
Areca nut,1
Arecoline,2B
"Art glass, glass containers and pressed ware (manufacture of)",2A
Auramine production,1
"Automotive gasoline (see also Gasoline engine exhaust, and Aviation gasoline)",1
BK polyomavirus (BKV),2B
"Benzidine, dyes metabolized to",1
Beta particles (see Radionuclides),
Betel quid with tobacco,1
Betel quid without tobacco,1
"Biomass fuel (primarily wood), indoor emissions from household combustion of",2A
Bisulfites,3
"Bitumens, occupational exposure to hard bitumens and their emissions during mastic asphalt work",2B
"Boot and shoe manufacture and repair (see Leather dust, Benzene)",
Bracken fern,2B
Calcium carbide production,3
Carbon electrode manufacture,2A
Carpentry and joinery,2B
Ceramic implants,3
Chimney sweeping (see Soot),
Chlorinated drinking-water,3
Chlorinated paraffins of average carbon chain length C12 and average degree of chlorination approximately 60%,2B
Chlorophenols (see Polychlorophenols),
Chlorophenoxy herbicides,2B
Coal dust,3
Coal gasification,1
"Coal, indoor emissions from household combustion of",1
"Cobalt and cobalt compounds, see Soluble cobalt(II) salts, Cobalt metal (without tungsten carbide or other metal alloys), Cobalt(II) oxide, Cobalt(II,III) oxide, Cobalt(II) sulfide, and Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, or Cobalt(II) sulfide)",
"Cobalt metal without tungsten carbide, see Cobalt metal (without tungsten carbide or other metal alloys)",
"Cobalt sulfate and other soluble cobalt(II) salts, see Soluble cobalt(II) salts",
"Coffee, drinking",3
Coke production,1
Continuous glass filament (see Glass filament),
Dental materials,3
"Depleted uranium (see Radionuclides, alpha-particle-emitting, internally deposited)",
"Diesel engine exhaust (see Engine exhaust, diesel)",
"Diesel fuel, marine",2B
"Diesel fuels, distillate (light)",3
Dry cleaning (occupational exposures in),2B
"Dyes metabolized to benzidine (see Benzidine, dyes metabolized to)",
"Electric fields, extremely low-frequency",3
"Electric fields, static",3
"Engine exhaust, diesel",1
"Engine exhaust, gasoline",2B
Epstein-Barr virus,1
"Estrogen therapy, postmenopausal",1
Estrogen-progestogen menopausal therapy (combined),1
Estrogen-progestogen oral contraceptives (combined),1
Firefighter (occupational exposure as a),1
"Fission products, including strontium-90",1
Flat-glass and specialty glass (manufacture of),3
Fluorescent lighting,3
Fluoro-edenite fibrous amphibole,1
"Foreign  bodies (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",
"Frying, emissions from high-temperature",2A
"Fuel oils, distillate (light)",3
"Fuel oils, residual (heavy)",2B
Furniture and cabinet making (see Wood dust),
Gamma-Radiation (see X- and Gamma-Radiation),
"Aviation gasoline (see also Automotive gasoline, and Gasoline engine exhaust)",2B
"Gasoline engine exhaust (see Engine exhaust, gasoline)",
"Glass filament, continuous",3
Goldenseal root powder,2B
Haematite mining (underground),1
Hair colouring products (personal use of),3
Hairdresser or barber (occupational exposure as a),2A
Hepatitis B virus (chronic infection with),1
Hepatitis C virus (chronic infection with),1
Hepatitis D virus,3
Hexachlorocyclohexanes,2B
High-temperature frying (see Frying),
"Household combustion of biomass fuel (see Biomass fuel, indoor emissions from household combustion of)",
"Household combustion of coal (see Coal, indoor emissions from household combustion)",
Human T-cell lymphotropic virus type I,1
Human T-cell lymphotropic virus type II,3
Human herpesvirus type 4 (see Epstein-Barr virus),
Human herpesvirus type 8 (see Kaposi sarcoma herpesvirus),
Human immunodeficiency virus type 1 (infection with),1
Human immunodeficiency virus type 2 (infection with),2B
Human papillomavirus (HPV) genus beta (except types 5 and 8) and genus gamma,3
Human papillomavirus (HPV) type 16,1
Human papillomavirus (HPV) type 18,1
Human papillomavirus (HPV) type 33,1
Human papillomavirus (HPV) type 68,2A
"Human papillomavirus (HPV) types 31, 35, 39, 45, 51, 52, 56, 58, 59",1
"Human papillomavirus (HPV) types 26, 53, 66, 67, 70, 73, 82",2B
"Human papillomavirus (HPV) types 30, 34, 69, 85, 97",2B
Human papillomavirus (HPV) types 5 and 8 (in patients with epidermodysplasia verruciformis),2B
Human papillomavirus (HPV) types 6 and 11,3
Hypochlorite salts,3
"Implanted foreign bodies of metallic chromium or titanium and of cobalt-based, chromium-based, and titanium-based alloys, and stainless steel",3
"Implanted foreign bodies of metallic cobalt, metallic nickel and an alloy powder containing 66-67% nickel, 13-16% chromium, and 7% iron",2B
Insulation glass wool,3
"Involuntary smoking (see Tobacco smoke, secondhand)",
Ionizing radiation (all types),1
Iron and steel founding (occupational exposure during),1
Isopropyl alcohol manufacture using strong acids,1
Isopropyl oils,3
JC polyomavirus (JCV),2B
Jet fuel,3
Kaposi sarcoma herpesvirus,1
"Lead compounds, inorganic",2A
"Lead compounds, organic",3
Leather dust,1
Leather goods manufacture (see also Leather dust),3
Leather tanning and processing,3
Lumber and sawmill industries (including logging),3
MOPP and other combined chemotherapy including alkylating agents,1
Madder root (Rubia tinctorum),3
Magenta production,1
"Magnetic fields, extremely low-frequency",2B
"Magnetic fields, static",3
Malaria (caused by infection with Plasmodium falciparum in holoendemic areas),2A
"Mate, hot (see Very hot beverages)",
"Mate, not very hot (drinking)",3
Merkel cell polyomavirus (MCV),2A
Metabisulfites,3
Metallic implants prepared as thin smooth films,2B
Methylmercury compounds,2B
"Mineral oils, highly-refined",3
"Mineral oils, untreated or mildly treated",1
Modacrylic fibres,3
Neutron radiation,1
Nickel compounds,1
Nickel refining (see Nickel compounds),
Night shift work,2A
Nitrate or nitrite (ingested) under conditions that result in endogenous nitrosation,2A
Non-arsenical insecticides (occupational exposures in spraying and application of),2A
Oestrogen (see Estrogen),
Opium consumption,1
"Oral contraceptives, combined estrogen-progestogen (see Estrogen-progestogen oral contraceptives)",
Organic polymeric materials,3
Orthopaedic implants of complex composition and cardiac pacemakers,3
"Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)",3
Outdoor air pollution,1
"Outdoor air pollution, particulate matter in",1
Oxymetholone (see Androgenic (anabolic) steroids),
Paint manufacture (occupational exposure in),3
Painter (occupational exposure as a),1
"Particulate matter in outdoor air pollution (see Outdoor air pollution, particulate matter in)",
Paving and roofing with coal-tar pitch (see Coal-tar pitch),
Pentavalent antimony,3
Petroleum refining (occupational exposures in),2A
Petroleum solvents,3
"Phenacetin, analgesic mixtures containing",1
Pickled vegetables (traditional Asian),2B
"Polychlorinated biphenyls, dioxin-like, with a Toxicity Equivalency Factor (TEF) according to WHO (PCBs 77, 81, 105, 114, 118, 123, 126, 156, 157, 167, 169, 189)",1
"Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)",3
"Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran)",3
"Polychlorophenols and their sodium salts (mixed exposures) (see Pentachlorophenol; 2,4,6-Trichlorophenol)",2B
Polymeric implant prepared as thin smooth films (with the exception of poly-glycolic acid),2B
Printing inks,3
Printing processes (occupational exposures in),2B
Processed meat (consumption of),1
Proflavine salts,3
Progestins (see also Progestogen-only contraceptives),2B
Progestogen-only contraceptives,2B
Pulp and paper manufacture,3
Radiofrequency electromagnetic fields,2B
"Radioiodines, including iodine-131",1
"Radionuclides, alpha-particle-emitting, internally deposited",1
"Radionuclides, beta-particle-emitting, internally deposited",1
Red meat (consumption of),2A
Refractory ceramic fibres,2B
Rock (stone) wool,3
Rubber manufacturing industry,1
SV40 polyomavirus,3
"Salted fish, Chinese-style",1
Silicone breast implants,3
Slag wool,3
"Solar radiation (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Ultraviolet-emitting tanning devices)",1
Soluble cobalt(II) salts,2A
Soot (as found in occupational exposure of chimney sweeps),1
Special-purpose fibres such as E-glass and '475' glass fibres,2B
Sulfites,3
Sunlamps and sunbeds (see Ultraviolet-emitting tanning devices),
"Surgical implants (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",
Tea,3
Testosterone (see Androgenic (anabolic) steroids),
Tetrakis(hydroxymethyl)phosphonium salts,3
Textile manufacturing industry (work in),2B
"Tobacco smoke, secondhand",1
Tobacco smoking,1
"Tobacco, smokeless",1
Toxins derived from certain Fusarium species (see Fusarium),
Trivalent antimony,2A
"Ultraviolet radiation from welding (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet-emitting tanning devices; and Solar radiation)",1
"Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC) (see Ultraviolet radiation from welding; Ultraviolet-emitting tanning devices; and Solar radiation)",1
"Ultraviolet-emitting tanning devices (see Ultraviolet radiation (wavelengths 100–400 nm, encompassing UVA, UVB, and UVC); Ultraviolet radiation from welding; and Solar radiation)",1
Urethane (see Ethyl carbamate),
Very hot beverages at above 65 °C (drinking),2A
Weapons-grade tungsten (with nickel and cobalt) alloy,2B
Welding fumes,1
Wood dust,1
"Wood smoke (see Biomass fuel, indoor emissions from household combustion)",
X- and Gamma-Radiation,1
4-Chloronitrobenzene,2B
para-Nitroanisole,2B
4-Vinylcyclohexene,2B
Ethylbenzene,2B
Styrene,2A
N-Nitrosopiperidine,2B
Iodine-131 (see Radioiodines),
Radon-222 and its decay products,1
Sterigmatocystin,2B
Parasorbic acid,3
Strontium-90 (see Fission products),
"4,4'-Methylenebis(2-chloroaniline) (MOCA)",1
Chloropropham,3
Dinitrosopentamethylenetetramine,3
"Michler’s base [4,4´-methylenebis(N,N-dimethyl)­benzenamine]",2B
"4,4'-Methylenediphenyl diisocyanate",3
"4,4'-Methylenedianiline",2B
"4,4'-Diaminodiphenyl ether",2B
Diglycidyl resorcinol ether,2B
Microcystin-LR,2B
meta-Cresidine,3
Triethanolamine,3
Phenicarbazide,3
2-Ethylhexyl acrylate,2B
Di(2-ethylhexyl) adipate,3
Azobenzene,3
Acetaminophen (see Paracetamol),
Paracetamol (Acetaminophen),3
Copper 8-hydroxyquinoline,3
para-Anisidine,3
Tacrolimus,1
para-Benzoquinone dioxime,3
"N,N'-Diethylthiourea",3
Caprolactam,3
Lauroyl peroxide,3
Tamoxifen,1
"PhIP (2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine)",2B
"3,7-Dinitrofluoranthene",2B
N-Nitrosomethylethylamine,2B
Chloramine,3
para-Dichlorobenzene,2B
para-Chloroaniline,2B
para-Phenylenediamine,3
para-Quinone,3
4-Vinylcyclohexene diepoxide,2B
"1,2-Epoxybutane",2B
Epichlorohydrin,2A
Glycidyl methacrylate,2A
Ethylene dibromide,2A
1-Bromopropane,2B
"1,3-Butadiene",1
Acrolein,2A
Allyl chloride,3
"1,2-Dichloroethane",2B
Acrylonitrile,1
Chloroacetonitrile,3
Chloromethyl methyl ether (see Bis(chloromethyl)ether; chloromethyl methyl ether),
Glyphosate,2A
2-(1-Aziridinyl)ethanol,3
Vinyl acetate,2B
Methyl isobutyl ketone,2B
Diisopropyl ether,3
Succinic anhydride,3
meta-Phenylenediamine,3
Resorcinol,3
Bis(2-chloro-1-methylethyl)ether,3
Melamine,2B
Toluene,3
Cyclohexanone,3
Phenol,3
β-Picoline,3
1-Bromo-3-chloropropane,2B
Tetrahydrofuran,2B
Furan,2B
"trans-1,4-Dichlorobutene",3
Pyridine,2B
Morpholine,3
Bleomycins,2B
Diethanolamine,2B
Bis(2-chloroethyl)ether,3
2-Butoxyethanol,3
Pioglitazone,2A
"Naphtho[1,2-b]fluoranthene",3
N-Nitrosodiethanolamine,2B
"1,3-Propane sultone",2A
Dithranol,3
Azaserine,2B
Propylene,3
Chlorendic acid,2B
Dicofol,3
Tris(2-chloroethyl) phosphate,3
Aldicarb,3
Tetrafluoroethylene,2A
Decabromodiphenyl oxide,3
