Agent,Synonyms
Sudan I,"['C.I. Solvent Yellow 14', 'C.I. 12055', 'Oil Yellow D', 'Fat Ponceau G', 'Solvent Yellow R', 'Ceres Yellow R', 'Cerasine Red', 'Oil Yellow 12055', 'Ponceau 3R', 'Yellow R', 'Oil Brown G']"
Temazepam,"['Euhypnos', 'Normison', 'Restoril', 'Temaze', 'Temazepamum', '<no synonym>']"
Phenanthrene,"['Phenanthrin', 'Phenantrene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Butyl benzyl phthalate,"['BBP', 'Benzyl butyl phthalate', 'Phthalic acid butyl benzyl ester', 'Santicizer 160', 'Unimoll BB', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Scarlet Red,"['Biebrich scarlet red', 'Fat Ponceau R', 'C.I. Solvent Red 24', 'Oil scarlet', 'C.I. 26105', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Yellow AB,"['Azobenzene-β-naphthol', 'C.I. Solvent Yellow 5', 'Oil Yellow AB', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Sudan III,"['C.I. Solvent Red 23', 'Oil Scarlet', 'Oil Red', 'C.I. 26100', 'Toluene red', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
3-(N-Nitrosomethylamino)propionaldehyde,"['N-Nitroso-N-(methyl)amino propionaldehyde', 'NMAAP', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Pyrido[3,4-c]psoralen","[""Furo[3'"", ""2':6"", '7]coumarino[3', '4-c]pyridine', 'Pyridopsoralen', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"7-Methylpyrido[3,4-c]psoralen","['MePyPs', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Nitrosodiphenylamine,"['NDPhA', 'Diphenylnitrosamine', 'N-Nitroso-N-phenylaniline', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Hydralazine,"['Apresoline', 'Hydralazine hydrochloride', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
1-Nitronaphthalene,"['alpha-Nitronaphthalene', 'Naphthalene', '1-nitro', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Fluorene,"['Diphenylenemethane', '9H-Fluorene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Carbazole,"['Diphenylenimine', 'Dibenzopyrrole', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
1-Naphthylthiourea (ANTU),"['ANTU', 'alpha-Naphthylthiourea', 'Dirax', 'Krysid', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Dimethyl hydrogen phosphite,"['Dimethyl phosphite', 'DMHP', 'Phosphonic acid dimethyl ester', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Cinnamyl anthranilate,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,6-Dimethylaniline (2,6-Xylidine)","['2', '6-Xylidine', '2', '6-Dimethylphenylamine', '2', '6-Dimethylbenzenamine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Hexachlorobutadiene,"['1', '3-Butadiene', 'hexachloro-', 'Perchlorobutadiene', 'HCBD', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Pentachlorophenol (see also Polychlorophenols),"['PCP', 'Pentachlorophenate', 'Dowicide 7', 'Penta', 'Santophen', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Ptaquiloside,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,4,6-Trimethylaniline","['2', '4', '6-Trimethylbenzenamine', '2', '4', '6-Trimethylphenylamine', 'Mesidine', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"2,4,6-Trichlorophenol (see also Polychlorophenols)","['TCP', '2', '4', '6-Trichlorophenate', 'Dowicide 2S', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
N-Vinyl-2-pyrrolidone,"['N-Vinylpyrrolidone', 'NVP', '1-Vinyl-2-pyrrolidone', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
2-Nitrotoluene,"['ortho-Nitrotoluene', 'o-Nitrotoluene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
2-Chloronitrobenzene,"['ortho-Chloronitrobenzene', 'o-Chloronitrobenzene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Chloronitrobenzenes (see 2-Chloronitrobenzene, 3-Chloronitrobenzene, 4-Chloronitrobenzene)","['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"1,4-Dichloro-2-nitrobenzene","['2-Nitro-1', '4-dichlorobenzene', '1', '4-Dichlor-2-nitrobenzol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Pulegone,"['2-Isopropylidene-5-methylcyclohexanone', '4-Isopropylidene-1-methylcyclohexan-3-one', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
3-Nitrofluoranthene,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Toremifene,"['Fareston', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
ortho-Anisidine (see also ortho-Anisidine hydrochloride),"['o-Anisidine', '2-Methoxyaniline', '2-Aminoanisole', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
ortho-Phenylphenol,"['2-Phenylphenol', 'OPP', '2-Hydroxydiphenyl', 'Dowicide 1', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Penicillic acid,"['3-Methoxy-5-methyl-4-oxo-2', '5-hexadienoic acid', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Michler’s ketone [4,4´-Bis(dimethylamino)benzophenone]","['Tetramethyldiaminobenzophenone', '4', ""4'-Bis(dimethylamino)benzophenone"", '4', ""4'-Bis(dimethylamino)phenyl ketone"", '4', ""4'-Bis(N"", 'N-dimethylamino)benzophenone', '4', ""4'-Tetramethyldiaminobenzophenone"", 'Bis(p-(dimethylamino)phenyl) ketone', 'CAS 90-94-8', 'MK', 'Bis(4-dimethylaminophenyl) ketone', 'Bis[p-(dimethylamino)phenyl]methanone', 'Ketone', 'bis[p-(dimethylamino)phenyl]', '4', ""4'-Bis(dimethylamino)benzophenone"", 'Tetramethyl diamino benzophenone']"
"Carrageenan, native","['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Kava extract,"['<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polytetrafluoroethylene,"['PTFE', 'Teflon', 'Fluon', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polyvinyl chloride,"['PVC', 'Chloroethene homopolymer', 'Vinyon', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polyethylene,"['PE', 'Polythene', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polyvinyl alcohol,"['PVA', 'PVOH', 'Ethenol homopolymer', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polyacrylic acid,"['PAA', 'Carbomer', 'Carbopol', 'Acrysol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polypropylene,"['PP', 'Propene homopolymer', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Polyvinyl acetate,"['PVAc', 'Ethenyl ethanoate homopolymer', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
